Draw number,Draw date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Supplementary Number 1,Supplementary Number 2,Division 1 winners,Division 1 winners in WA,Division 1 prize pool,Division 1 amount,Division 2 winners,Division 2 winners in WA,Division 2 prize pool,Division 2 amount,Division 3 winners,Division 3 winners in WA,Division 3 prize pool,Division 3 amount,Division 4 winners,Division 4 winners in WA,Division 4 prize pool,Division 4 amount,Division 5 winners,Division 5 winners in WA,Division 5 prize pool,Division 5 amount,Division 6 winners,Division 6 winners in WA,Division 6 prize pool,Division 6 amount
4705,20/05/2026,16,2,43,20,8,15,5,19,0,0,0.00,0.00,5,0,52713.00,10542.60,174,24,81579.90,468.85,8218,1351,232158.50,28.25,23109,3322,330458.70,14.30,54902,7617,557255.30,10.15
4704,18/05/2026,1,39,23,8,41,27,43,10,0,0,0.00,0.00,9,2,50576.85,5619.65,148,20,78269.80,528.85,7633,1140,222883.60,29.20,18996,3061,316283.40,16.65,34835,5817,536459.00,15.40
4703,15/05/2026,2,33,26,8,41,29,13,3,0,0,0.00,0.00,12,3,115642.80,9636.90,156,22,178963.20,1147.20,8649,1395,509426.10,58.90,22796,3747,724912.80,31.80,61255,9359,1225100.00,20.00
4702,13/05/2026,42,14,15,11,32,5,7,29,1,0,1000000.00,1000000.00,10,0,140577.00,14057.70,181,20,217562.00,1202.00,11057,1543,619192.00,56.00,33457,4504,879919.10,26.30,68952,9252,1489363.20,21.60
4701,11/05/2026,25,11,3,12,27,36,41,8,1,1,1000000.00,1000000.00,10,2,132456.00,13245.60,203,39,204989.40,1009.80,11782,1713,583209.00,49.50,28649,4158,830821.00,29.00,46886,7165,1401891.40,29.90
4700,08/05/2026,40,4,17,41,20,19,10,5,2,0,2000000.00,1000000.00,5,3,36295.25,7259.05,87,25,56171.55,645.65,5319,994,159835.95,30.05,15458,2652,227232.60,14.70,37445,6818,383811.25,10.25
4699,06/05/2026,18,35,9,11,15,41,16,45,2,0,2000000.00,1000000.00,5,0,51718.75,10343.75,160,17,80040.00,500.25,7727,1067,227946.50,29.50,17818,2720,324287.60,18.20,33905,5462,547565.75,16.15
4698,04/05/2026,17,26,38,15,36,6,20,9,0,0,0.00,0.00,8,3,48914.40,6114.30,141,23,75702.90,536.90,7121,1148,215410.25,30.25,19042,2940,306576.20,16.10,43696,7043,517797.60,11.85
4697,01/05/2026,19,41,2,34,22,36,33,38,0,0,0.00,0.00,2,0,38962.70,19481.35,100,15,60300.00,603.00,5206,943,171537.70,32.95,13135,2447,243654.25,18.55,28032,5604,413472.00,14.75
4696,29/04/2026,18,2,4,20,15,41,36,24,1,0,1000000.00,1000000.00,8,1,54164.00,6770.50,198,25,83823.30,423.35,8873,1245,238683.70,26.90,20265,3050,339438.75,16.75,39216,6408,574514.40,14.65
4695,27/04/2026,8,26,43,33,10,24,11,5,0,0,0.00,0.00,7,1,48889.40,6984.20,130,13,75660.00,582.00,6883,951,215437.90,31.30,20619,2811,306192.15,14.85,55960,7231,517630.00,9.25
4694,24/04/2026,17,3,13,36,7,40,45,12,1,0,1000000.00,1000000.00,7,1,40264.00,5752.00,135,27,62316.00,461.60,7424,1420,177433.60,23.90,16011,3119,252173.25,15.75,29642,5807,426844.80,14.40
4693,22/04/2026,24,13,34,37,23,1,9,31,1,0,1000000.00,1000000.00,6,1,54946.50,9157.75,153,20,85037.40,555.80,8205,1242,242047.50,29.50,21393,3245,344427.30,16.10,44034,7179,581248.80,13.20
4692,20/04/2026,18,34,30,40,21,13,24,39,1,0,1000000.00,1000000.00,13,1,51361.05,3950.85,160,21,79488.00,496.80,7918,1232,226058.90,28.55,18669,2857,322040.25,17.25,35638,6035,543479.50,15.25
4691,17/04/2026,31,24,13,16,11,22,28,36,0,0,0.00,0.00,5,2,38970.75,7794.15,160,36,60312.00,376.95,7395,1356,171564.00,23.20,16268,2846,244020.00,15.00,29741,5012,413399.90,13.90
4690,15/04/2026,9,26,22,37,35,13,38,2,0,0,0.00,0.00,8,0,51312.80,6414.10,156,27,79411.80,509.05,7895,1157,226191.75,28.65,19299,2825,321328.35,16.65,35840,5642,542976.00,15.15
